ID,Title,URL,Animal,Call Number,Date,Entity,Hybrid,Mitch's Category,Monogram,NOT_FOUND,Person,Physical,Place,TBD,Type
15019795936,Inscription from the Jesuit College in Paris,https://www.flickr.com/photos/58558794@N07/15019795936/,,BX4630.A1 L46 1615,,,,,,,,,Paris (France),Jay I. Kislak Collection|Jesuit inscriptions|Jesuits|Kislak Center|Penn Libraries|Identified,Inscriptions|Provenance
14856205808,Inscription from the Jesuit College in Paris,https://www.flickr.com/photos/58558794@N07/14856205808/,,BX4630.A1 L46 1615,,,,,,,,,,Jay I. Kislak Collection|Jesuit inscriptions|Jesuits|Kislak Center|Penn Libraries|Unidentified,Inscriptions|Provenance
14856079769,BX4630.A1 L46 1615,https://www.flickr.com/photos/58558794@N07/14856079769/,,BX4630.A1 L46 1615,,,,,,,,,,Jay I. Kislak Collection|Kislak Center|Penn Libraries|Unidentified,Provenance|Stamps
15042794765,BX4630.A1 L46 1615,https://www.flickr.com/photos/58558794@N07/15042794765/,,BX4630.A1 L46 1615,1930s|1938,,,,,,,,,Jay I. Kislak Collection|Kislak Center|Penn Libraries|Unidentified,Inscriptions|Provenance
14856247097,"Shelfmark of the library of Charles de Rohan, prince de Soubise (1715-1787)",https://www.flickr.com/photos/58558794@N07/14856247097/,,BX4630.A1 L46 1615,,,,,,,"Soubise, Charles de Rohan, prince de, 1715-1787",,,Jay I. Kislak Collection|Kislak Center|Penn Libraries|Shelfmarks|Identified,Inscriptions|Provenance
15039740391,Armorial binding of Jacques-Auguste de Thou (1553-1617),https://www.flickr.com/photos/58558794@N07/15039740391/,,BX4630.A1 L46 1615,,,,,,,"Thou, Jacques-Auguste de, 1553-1617",Spines,,Jay I. Kislak Collection|Kislak Center|Monograms|Penn Libraries|Identified,Armorial bindings|Bindings|Provenance
14856201218,Armorial binding of Jacques-Auguste de Thou (1553-1617),https://www.flickr.com/photos/58558794@N07/14856201218/,,BX4630.A1 L46 1615,,,,,,,"Thou, Jacques-Auguste de, 1553-1617",,,Coats of arms|Jay I. Kislak Collection|Kislak Center|Monograms|Penn Libraries|Identified,Armorial bindings|Bindings|Provenance
14856242777,Armorial binding of Jacques-Auguste de Thou (1553-1617),https://www.flickr.com/photos/58558794@N07/14856242777/,,BX4630.A1 L46 1615,,,,,,,"Thou, Jacques-Auguste de, 1553-1617",,,Coats of arms|Jay I. Kislak Collection|Kislak Center|Monograms|Penn Libraries|Identified,Armorial bindings|Bindings|Provenance
14856241597,BV4011.J63 1599,https://www.flickr.com/photos/58558794@N07/14856241597/,,BV4011.J63 1599,,,,,,,,,,Coats of arms|Jay I. Kislak Collection|Kislak Center|Penn Libraries|Unidentified,Armorial bookplates|Bookplates|Provenance
14856136700,BV4011.J63 1599,https://www.flickr.com/photos/58558794@N07/14856136700/,,BV4011.J63 1599,,,,,,,,,,Jay I. Kislak Collection|Kislak Center|Penn Libraries|Unidentified,
15042428572,BV4011.J63 1599,https://www.flickr.com/photos/58558794@N07/15042428572/,,BV4011.J63 1599,,,,,,,,,,Jay I. Kislak Collection|Kislak Center|Penn Libraries|Unidentified,Inscriptions|Provenance
14856068729,BV4011.J63 1599,https://www.flickr.com/photos/58558794@N07/14856068729/,,BV4011.J63 1599,,,,,,,,,,Culture Class Bestiary|Jay I. Kislak Collection|Kislak Center|Penn Libraries|Unicorns|Unidentified,Bookplates|Provenance
15039731041,Armorial binding of Jacques-Auguste de Thou (1553-1617),https://www.flickr.com/photos/58558794@N07/15039731041/,,BV4011.J63 1599,,,,,,,"Thou, Jacques-Auguste de, 1553-1617",Spines,,Jay I. Kislak Collection|Kislak Center|Monograms|Penn Libraries|Identified,Armorial bindings|Bindings|Provenance
14856193568,Armorial binding of Jacques-Auguste de Thou (1553-1617),https://www.flickr.com/photos/58558794@N07/14856193568/,,BV4011.J63 1599,,,,,,,"Thou, Jacques-Auguste de, 1553-1617",,,Coats of arms|Jay I. Kislak Collection|Kislak Center|Monograms|Penn Libraries|Identified,Armorial bindings|Bindings|Provenance
